Lp.;Nr_umowy;Data poczatku okresu ubezpieczenia;Data konca okresu ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
975;M10200633304;17.07.2021;16.07.2022;460000;TAK;Kuźnik 5b;66-300;Kuźnik;lubuskie;Polska;1,2;
976;M10201281204;17.07.2021;16.07.2022;1010000;TAK;Koszalińska 12;05-270;Marki;mazowieckie;Polska;1,2;
977;M1020149610;12.05.2021;11.05.2022;150000;TAK;Iwaszkiewicza Jarosława 94;70-786;Szczecin;zachodniopomorskie;Polska;1,2;
978;M10202262504;17.07.2021;16.07.2022;300000;TAK;Stefana Banacha 10a;76-200;Słupsk;pomorskie;Polska;1,2;
979;M1020297210;27.04.2021;26.04.2022;70000;TAK;Czereśniowa 11a;66-400;Gorzów Wielkopolski;lubuskie;Polska;1,2;
980;M1020374810;01.08.2021;31.07.2022;640000;TAK;Zwycięzców 51;03-937;Warszawa;mazowieckie;Polska;1,2;
981;M1020452910;03.05.2021;02.05.2022;300000;TAK;Janusza Kusocińskiego 1;84-200;Wejherowo;pomorskie;Polska;1,2;
982;M1020465510;06.05.2021;05.05.2022;70000;TAK;Surowieckiego Wawrzyńca 8;02-785;Warszawa;mazowieckie;Polska;1,2;
983;M1020487810;15.05.2021;14.05.2022;360000;TAK;Borkowice 1;62-053;Borkowice;wielkopolskie;Polska;1,2;
984;M1020536710;20.04.2021;19.04.2022;290000;TAK;Laurowa 20;20-153;Lublin;lubelskie;Polska;1,2;
985;M1020537710;29.04.2021;28.04.2022;90000;TAK;Konwaliowa 13;15-674;Białystok;podlaskie;Polska;1,2;
986;M10205405704;18.07.2021;17.07.2022;230000;TAK;Tęczowa 89;53-601;Wrocław;dolnośląskie;Polska;1,2;
987;M10205591204;27.07.2021;26.07.2022;600000;TAK;gen. Władysława Andersa 75D;41-808;Zabrze;śląskie;Polska;1,2;
988;M10205614604;01.08.2021;31.07.2022;500000;TAK;Radzikowice 57a;48-300;Radzikowice;opolskie;Polska;1,2;
989;M10206281104;06.08.2021;05.08.2022;220000;TAK;Dworcowa 27;86-200;Chełmno;kujawsko-pomorskie;Polska;1,2;
990;M10206896704;18.07.2021;17.07.2022;180000;TAK;Narciarska 59;74-500;Chojna;zachodniopomorskie;Polska;1,2;
991;M10207339004;01.08.2021;31.07.2022;210000;TAK;Pańska 65;00-830;Warszawa;mazowieckie;Polska;1,2;
992;M10207676504;18.07.2021;17.07.2022;630000;TAK;Leśna 4i;56-416;Twardogóra;dolnośląskie;Polska;1,2;
993;M10207779304;08.08.2021;07.08.2022;380000;TAK;Emancypantek 1;05-800;Pruszków;mazowieckie;Polska;1,2;
994;M10207883204;20.07.2021;19.07.2022;310000;TAK;gen. Józefa Bema 2;05-820;Piastów;mazowieckie;Polska;1,2;
995;M1020823810;21.08.2021;20.08.2022;500000;TAK;Zygmunta Słomińskiego 7;00-195;Warszawa;mazowieckie;Polska;1,2;
996;M10208513904;18.07.2021;17.07.2022;160000;TAK;ks. Jana Dzierżona 3;46-040;Ozimek;opolskie;Polska;1,2;
997;M10208631504;18.07.2021;17.07.2022;700000;TAK;Owsiana 35;87-100;Toruń;kujawsko-pomorskie;Polska;1,2;
998;M10208892304;19.07.2021;18.07.2022;400000;TAK;Długa 6;89-606;Chojniczki;pomorskie;Polska;1,2;
999;M10209437004;18.07.2021;17.07.2022;410000;TAK;Warzymice 85C;72-005;Warzymice;zachodniopomorskie;Polska;1,2;
1000;M10209611204;25.07.2021;24.07.2022;130000;TAK;Gdyńska 130;76-200;Słupsk;pomorskie;Polska;1,2;
1001;M10209621504;20.07.2021;19.07.2022;520000;TAK;Okrętowa 75A;01-309;Warszawa;mazowieckie;Polska;1,2;
1002;M10209629504;11.08.2021;10.08.2022;385000;TAK;Sosnowa 33;55-120;Wilczyn;dolnośląskie;Polska;1,2;
1003;M10209631804;01.10.2021;30.09.2022;210000;TAK;Pilota Stanisława Wigury 30a;90-319;Łódź;łódzkie;Polska;1,2;
1004;M10209688404;18.07.2021;17.07.2022;435000;TAK;Kwiatowa 20;43-332;Pisarzowice;śląskie;Polska;1,2;
1005;M10209957604;19.07.2021;18.07.2022;450000;TAK;Warszawska (Wesoła) 47;05-075;Warszawa;mazowieckie;Polska;1,2;
1006;M1021046910;10.05.2021;09.05.2022;480000;TAK;Jana Sobieskiego 55;47-364;Strzeleczki;opolskie;Polska;1,2;
1007;M10210572204;18.07.2021;17.07.2022;460000;TAK;Jana Kazimierza 30;01-248;Warszawa;mazowieckie;Polska;1,2;
1008;M10210594904;10.08.2021;09.08.2022;120000;TAK;ks. Prymasa Augusta Hlonda 73;41-933;Bytom;śląskie;Polska;1,2;
1009;M10210680604;18.07.2021;17.07.2022;260000;TAK;Widok 113;97-330;Barkowice;łódzkie;Polska;1,2;
1010;M10210734504;18.07.2021;17.07.2022;160000;TAK;Lipowa 39a;62-100;Wągrowiec;wielkopolskie;Polska;1,2;
1011;M10211026004;26.08.2021;25.08.2022;258703;TAK;Sprawna 10;03-147;Warszawa;mazowieckie;Polska;1,2;
1012;M1021106810;29.04.2021;28.04.2022;860000;TAK;Topolowa 169;08-110;Siedlce;mazowieckie;Polska;1,2;
1013;M1021113610;22.07.2021;21.07.2022;460000;TAK;Szeroka 76;04-277;Warszawa;mazowieckie;Polska;1,2;
1014;M10211143904;08.08.2021;07.08.2022;300000;TAK;Zyndaki 7D;11-731;Zyndaki;warmińsko-mazurskie;Polska;1,2;
1015;M10211144204;13.08.2021;12.08.2022;100000;TAK;Chmielna 73B;00-801;Warszawa;mazowieckie;Polska;1,2;
1016;M10211168904;18.07.2021;17.07.2022;186423,6;TAK;Wandy Pawlik 17;48-300;Nysa;opolskie;Polska;1,2;
1017;M10211713504;18.07.2021;17.07.2022;340000;TAK;Szczepana Pileckiego 4;80-225;Gdańsk;pomorskie;Polska;1,2;
1018;M10212125104;18.07.2021;17.07.2022;205000;TAK;Staszowska 31A;27-570;Iwaniska;świętokrzyskie;Polska;1,2;
1019;M10213671904;01.08.2021;31.07.2022;315000;TAK;Krucza 11;53-409;Wrocław;dolnośląskie;Polska;1,2;
1020;M1021382810;10.05.2021;09.05.2022;280000;TAK;Mokra 16/18;95-200;Pabianice;łódzkie;Polska;1,2;
1021;M10214097604;19.07.2021;18.07.2022;250000;TAK;Rokicińska 37;95-006;Bukowiec;łódzkie;Polska;1,2;
1022;M10214240004;22.07.2021;21.07.2022;450000;TAK;Hyżne 598;36-024;Hyżne;podkarpackie;Polska;1,2;
1023;M10214927104;22.07.2021;21.07.2022;420000;TAK;Warszawska 54;08-103;Siedlce;mazowieckie;Polska;1,2;
1024;M10214929304;27.07.2021;26.07.2022;575000;TAK;Olszynowa 16e/1;62-020;Rabowice;wielkopolskie;Polska;1,2;
1025;M1021523410;01.05.2021;30.04.2022;170000;TAK;Elizy Orzeszkowej 2;89-240;Kcynia;kujawsko-pomorskie;Polska;1,2;
1026;M10215394604;26.07.2021;25.07.2022;440000;TAK;Aleja Rzeczypospolitej 33a;02-972;Warszawa;mazowieckie;Polska;1,2;
1027;M1021540610;26.04.2021;25.04.2022;580000;TAK;Banderii 4;01-164;Warszawa;mazowieckie;Polska;1,2;
1028;M10215598604;31.07.2021;30.07.2022;420000;TAK;Azalii 5;47-300;Krapkowice;opolskie;Polska;1,2;
1029;M1021572510;15.05.2021;14.05.2022;220000;TAK;Kędzierskiego Jana 6;01-493;Warszawa;mazowieckie;Polska;1,2;
1030;M1021573610;21.04.2021;20.04.2022;100000;TAK;Zamiany 16;02-786;Warszawa;mazowieckie;Polska;1,2;
1031;M10216147204;23.07.2021;22.07.2022;210000;TAK;Budowlanych 78;43-100;Tychy;śląskie;Polska;1,2;
1032;M1021662510;01.05.2021;30.04.2022;200000;TAK;Kaszubska 6b;80-318;Gdańsk;pomorskie;Polska;1,2;
1033;M10216850704;11.08.2021;10.08.2022;346816;TAK;Czecha 56;61-288;Poznań;wielkopolskie;Polska;1,2;
1034;M10216864404;20.07.2021;19.07.2022;520000;TAK;Cicha 6;08-540;Stężyca;lubelskie;Polska;1,2;
1035;M10217003904;26.07.2021;25.07.2022;710000;TAK;Władysława Łokietka 8;45-563;Opole;opolskie;Polska;1,2;
1036;M1021706110;22.04.2021;21.04.2022;120000;TAK;Bukowińska 8;02-703;Warszawa;mazowieckie;Polska;1,2;
1037;M10217313504;21.07.2021;20.07.2022;170000;TAK;gen. Stefana Grota-Roweckiego 9;24-100;Puławy;lubelskie;Polska;1,2;
1038;M1021750010;23.06.2021;22.06.2022;190000;TAK;Romskich Ofiar Getta Łódzkiego 1;91-837;Łódź;łódzkie;Polska;1,2;
1039;M1021760210;08.06.2021;07.06.2022;773000;TAK;Sójki 2/2;05-500;Zgorzała;mazowieckie;Polska;1,2;
1040;M1021768410;16.05.2021;15.05.2022;150000;TAK;Ofiar Piaśnicy 39a;84-200;Wejherowo;pomorskie;Polska;1,2;
1041;M10217780704;18.07.2021;17.07.2022;210000;TAK;Nowosiółki-Kolonia 24b;22-151;Nowosiółki-Kolonia;lubelskie;Polska;1,2;
1042;M10218105104;19.07.2021;18.07.2022;350000;TAK;Zakładowa 7a;50-231;Wrocław;dolnośląskie;Polska;1,2;
1043;M10218108204;20.07.2021;19.07.2022;300000;TAK;Armii Krajowej 78;94-046;Łódź;łódzkie;Polska;1,2;
1044;M1021924310;26.07.2021;25.07.2022;90000;TAK;Sierakowskiego Zygmunta 72;91-324;Łódź;łódzkie;Polska;1,2;
1045;M1021953310;18.05.2021;17.05.2022;180000;TAK;Julianowska 3;91-473;Łódź;łódzkie;Polska;1,2;
1046;M10220088204;19.07.2021;18.07.2022;320000;TAK;bp. Dominika 41;81-402;Gdynia;pomorskie;Polska;1,2;
1047;M10220943604;24.07.2021;23.07.2022;420000;TAK;Skarbka 2c;42-600;Tarnowskie Góry;śląskie;Polska;1,2;
1048;M10221704504;19.07.2021;18.07.2022;220000;TAK;Wrońska 1C;20-327;Lublin;lubelskie;Polska;1,2;
1049;M1022182110;09.05.2021;08.05.2022;620000;TAK;Leśna 61;05-300;Stojadła;mazowieckie;Polska;1,2;
1050;M1022186110;01.08.2021;31.07.2022;470000;TAK;Jarzębinowa 1a;17-120;Brańsk;podlaskie;Polska;1,2;
1051;M1022186410;01.09.2021;31.08.2022;450000;TAK;Gnieźnieńska 4;62-330;Nekla;wielkopolskie;Polska;1,2;
1052;M10222240604;15.08.2021;14.08.2022;150000;TAK;Słowiańska 132;05-180;Kosewko;mazowieckie;Polska;1,2;
1053;M10222258704;19.07.2021;18.07.2022;165000;TAK;Rokitno 11;05-870;Rokitno;mazowieckie;Polska;1,2;
1054;M10222264604;01.09.2021;31.08.2022;350000;TAK;Mariana Kołodzieja 47;80-180;Gdańsk;pomorskie;Polska;1,2;
1055;M1022230110;14.05.2021;13.05.2022;150000;TAK;11 Listopada 15;62-510;Konin;wielkopolskie;Polska;1,2;
1056;M1022250810;22.07.2021;21.07.2022;1100000;TAK;Osikowa 5;05-501;Piaseczno;mazowieckie;Polska;1,2;
1057;M10222511104;20.07.2021;19.07.2022;400000;TAK;Antoniego Pajdaka 5;03-134;Warszawa;mazowieckie;Polska;1,2;
1058;M10222511203;25.01.2021;24.01.2022;526889;TAK;Włodarzewska 81d;02-393;Warszawa;mazowieckie;Polska;1,2;
1059;M10222514704;19.07.2021;18.07.2022;460000;TAK;Kozarze 3B;18-230;Kozarze;podlaskie;Polska;1,2;
1060;M10222520104;19.07.2021;18.07.2022;150000;TAK;Żelazna 58/62;00-866;Warszawa;mazowieckie;Polska;1,2;
1061;M10222520604;19.07.2021;18.07.2022;150000;TAK;Śliska 3;00-127;Warszawa;mazowieckie;Polska;1,2;
1062;M10222521104;21.07.2021;20.07.2022;130000;TAK;Ks. Zygmunta Trybowskiego 7;85-796;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;
1063;M10222661304;21.07.2021;20.07.2022;314000;TAK;Puławska 26;20-046;Lublin;lubelskie;Polska;1,2;
1064;M10223168404;29.07.2021;28.07.2022;310000;TAK;Stefana Batorego 34;60-687;Poznań;wielkopolskie;Polska;1,2;
1065;M10223203304;19.07.2021;18.07.2022;270000;TAK;Tadeusza Kościuszki 35;80-445;Gdańsk;pomorskie;Polska;1,2;
1066;M10223468604;21.07.2021;20.07.2022;570000;TAK;Lechów 51A;26-004;Lechów;świętokrzyskie;Polska;1,2;
1067;M10224078004;25.07.2021;24.07.2022;600000;TAK;Willowa 6;05-462;Majdan;mazowieckie;Polska;1,2;
1068;M10224078104;03.08.2021;02.08.2022;190000;TAK;Tadeusza Kościuszki 19;08-500;Ryki;lubelskie;Polska;1,2;
1069;M10224079204;24.07.2021;23.07.2022;400000;TAK;Widoczna 41;05-462;Majdan;mazowieckie;Polska;1,2;
1070;M10224081504;19.07.2021;18.07.2022;320000;TAK;Wiejska 12;44-350;Gorzyce;śląskie;Polska;1,2;
1071;M10224090604;01.08.2021;31.07.2022;230000;TAK;Jana Kochanowskiego 5;28-100;Busko-Zdrój;świętokrzyskie;Polska;1,2;
1072;M10224296504;24.07.2021;23.07.2022;410000;TAK;Drawska 10;02-202;Warszawa;mazowieckie;Polska;1,2;
1073;M10224776404;18.07.2021;17.07.2022;384000;TAK;Lubelska 16/18;30-003;Kraków;małopolskie;Polska;1,2;
1074;M10225092004;19.07.2021;18.07.2022;240000;TAK;Artylerzystów 19;88-190;Barcin;kujawsko-pomorskie;Polska;1,2;
1075;M10225537404;18.08.2021;17.08.2022;327600;TAK;Podłużna 34A;03-290;Warszawa;mazowieckie;Polska;1,2;
1076;M1022575110;20.05.2021;19.05.2022;640000;TAK;Trąbki 351;32-020;Trąbki;małopolskie;Polska;1,2;
1077;M10225934304;25.07.2021;24.07.2022;295000;TAK;Tysiąclecia 34;88-430;Janowiec Wielkopolski;kujawsko-pomorskie;Polska;1,2;
1078;M10225955304;21.07.2021;20.07.2022;325000;TAK;Karwacz 55A;21-400;Karwacz;lubelskie;Polska;1,2;
1079;M10225973104;21.07.2021;20.07.2022;604000;TAK;Krzywe Koło 6/6A;00-270;Warszawa;mazowieckie;Polska;1,2;
1080;M10226395904;24.07.2021;23.07.2022;275000;TAK;Zagórna 23;15-820;Białystok;podlaskie;Polska;1,2;
1081;M10226399304;19.07.2021;18.07.2022;350000;TAK;Willowa 10;71-650;Szczecin;zachodniopomorskie;Polska;1,2;
1082;M1022692210;20.05.2021;19.05.2022;200000;TAK;Staniewice 68;76-113;Staniewice;zachodniopomorskie;Polska;1,2;
1083;M1022693310;15.06.2021;14.06.2022;90000;TAK;Romańska 1;01-451;Warszawa;mazowieckie;Polska;1,2;
1084;M1022694910;07.05.2021;06.05.2022;140000;TAK;Zawiszy Czarnego 12;68-200;Żary;lubuskie;Polska;1,2;
1085;M10227140304;19.07.2021;18.07.2022;200000;TAK;I Armii Wojska Polskiego 32D;15-103;Białystok;podlaskie;Polska;1,2;
1086;M10227145404;19.07.2021;18.07.2022;100000;TAK;Stefana Żeromskiego 2D;72-200;Nowogard;zachodniopomorskie;Polska;1,2;
1087;M10227284404;19.07.2021;18.07.2022;500000;TAK;Sietesz 473;37-206;Sietesz;podkarpackie;Polska;1,2;
1088;M10227439404;19.07.2021;18.07.2022;610000;TAK;Jana Kazimierza 330F;05-126;Stanisławów Pierwszy;mazowieckie;Polska;1,2;
1089;M10227443504;21.07.2021;20.07.2022;550000;TAK;Koziorożca 59;80-299;Gdańsk;pomorskie;Polska;1,2;
1090;M10227447904;26.10.2021;25.10.2022;260000;TAK;Jeziorna 6;62-130;Gołańcz;wielkopolskie;Polska;1,2;
1091;M10227448304;19.07.2021;18.07.2022;220000;TAK;Wilków 9 O;99-205;Wilków;łódzkie;Polska;1,2;
1092;M10227850304;23.07.2021;22.07.2022;1000000;TAK;Wrocławska 11c;55-080;Pietrzykowice;dolnośląskie;Polska;1,2;
1093;M10228310404;19.07.2021;18.07.2022;500000;TAK;Świętokrzyska 93/20;26-001;Wola Kopcowa;świętokrzyskie;Polska;1,2;
1094;M1022996810;15.05.2021;14.05.2022;310000;TAK;Piastowska 2;55-020;Bratowice;dolnośląskie;Polska;1,2;
1095;M10229994504;30.07.2021;29.07.2022;100000;TAK;Murmańska 11;04-203;Warszawa;mazowieckie;Polska;1,2;
1096;M10230082904;19.07.2021;18.07.2022;190000;TAK;Konstantego Ildefonsa Gałczyńskiego 16;09-400;Płock;mazowieckie;Polska;1,2;
1097;M10230330104;26.07.2021;25.07.2022;244000;TAK;Juliusza Słowackiego 34c;60-825;Poznań;wielkopolskie;Polska;1,2;
1098;M1023045610;01.06.2021;31.05.2022;400000;TAK;Milana Rastislava Stefanika 14;03-133;Warszawa;mazowieckie;Polska;1,2;
1099;M10230789004;20.07.2021;19.07.2022;520000;TAK;Juliana Ursyna Niemcewicza 17;02-027;Warszawa;mazowieckie;Polska;1,2;
1100;M10230858104;20.07.2021;19.07.2022;320000;TAK;Obozowa 1C;32-600;Oświęcim;małopolskie;Polska;1,2;
1101;M10230862004;25.08.2021;24.08.2022;356000;TAK;Jana Husa 18a;03-153;Warszawa;mazowieckie;Polska;1,2;
1102;M1023106110;01.05.2021;30.04.2022;70000;TAK;Graniczna 63C;40-018;Katowice;śląskie;Polska;1,2;
1103;M1023138110;06.05.2021;05.05.2022;240000;TAK;Wilczkowska 2;51-213;Wrocław;dolnośląskie;Polska;1,2;
1104;M10231421304;20.08.2021;19.08.2022;200000;TAK;Michałowskiego 12;42-224;Częstochowa;śląskie;Polska;1,2;
1105;M1023180510;10.05.2021;09.05.2022;270000;TAK;Floriana Szarego 9;70-743;Szczecin;zachodniopomorskie;Polska;1,2;
1106;M10231851004;02.08.2021;01.08.2022;600000;TAK;Poprzeczna 5;73-121;Marianowo;zachodniopomorskie;Polska;1,2;
1107;M10232395904;21.07.2021;20.07.2022;585000;TAK;Maurycego Beniowskiego 3;80-382;Gdańsk;pomorskie;Polska;1,2;
1108;M10232587204;20.07.2021;19.07.2022;188000;TAK;Warszawska 43;05-820;Piastów;mazowieckie;Polska;1,2;
1109;M10232866304;19.07.2021;18.07.2022;220000;TAK;Nowy Świat 3;62-020;Swarzędz;wielkopolskie;Polska;1,2;
1110;M1023365310;11.05.2021;10.05.2022;190000;TAK;Małachowskieg 6;76-200;Słupsk;pomorskie;Polska;1,2;
1111;M1023398010;26.05.2021;25.05.2022;220000;TAK;Wybrzeże Kościuszkowskie 17;00-390;Warszawa;mazowieckie;Polska;1,2;
1112;M1023399310;06.05.2021;05.05.2022;140000;TAK;Majakowskiego 6;41-300;Dąbrowa Górnicza;śląskie;Polska;1,2;
1113;M10234060704;20.07.2021;19.07.2022;170000;TAK;Stanisława Konarskiego 30;30-049;Kraków;małopolskie;Polska;1,2;
1114;M10234115504;02.08.2021;01.08.2022;165000;TAK;Piaskowa 26/1;14-260;Lubawa;warmińsko-mazurskie;Polska;1,2;
1115;M1023412010;11.05.2021;10.05.2022;170000;TAK;"Pułku AK ""Baszta"" 2b";02-649;Warszawa;mazowieckie;Polska;1,2;
1116;M10234150104;20.07.2021;19.07.2022;330000;TAK;Zamojska 18b;93-486;Łódź;łódzkie;Polska;1,2;
1117;M10234217004;20.07.2021;19.07.2022;280336;TAK;Żurawia 25;59-300;Lubin;dolnośląskie;Polska;1,2;
1118;M10234271204;22.07.2021;21.07.2022;140000;TAK;Praska 11a;13-220;Rybno;warmińsko-mazurskie;Polska;1,2;
1119;M10234279704;25.07.2021;24.07.2022;740000;TAK;Łąki 21B;82-420;Ryjewo;pomorskie;Polska;1,2;
1120;M10234279904;01.08.2021;31.07.2022;500000;TAK;Niepodległości 855;81-810;Sopot;pomorskie;Polska;1,2;
1121;M10234295204;01.09.2021;31.08.2022;520000;TAK;Wyszogrodzka 6;03-337;Warszawa;mazowieckie;Polska;1,2;
1122;M10235110904;02.08.2021;01.08.2022;270000;TAK;Lodowa 29a;60-227;Poznań;wielkopolskie;Polska;1,2;
1123;M10235118504;06.10.2021;05.10.2022;630000;TAK;Monte Cassino 6;30-337;Kraków;małopolskie;Polska;1,2;
1124;M10235202404;20.07.2021;19.07.2022;300000;TAK;Wojciecha Chrzanowskiego 4;04-381;Warszawa;mazowieckie;Polska;1,2;
1125;M10235203104;20.07.2021;19.07.2022;1020000;TAK;Magenta 44;04-429;Warszawa;mazowieckie;Polska;1,2;
1126;M10235206404;07.08.2021;06.08.2022;260000;TAK;Os. Tadeusza Kościuszki 23;99-412;Kiernozia;łódzkie;Polska;1,2;
1127;M10235207704;31.07.2021;30.07.2022;400000;TAK;Juliana Przybosia 30;73-110;Stargard Szczeciński;zachodniopomorskie;Polska;1,2;
1128;M10235222104;21.07.2021;20.07.2022;110000;TAK;Szkolna 10;72-600;Świnoujście;zachodniopomorskie;Polska;1,2;
1129;M10235222904;21.07.2021;20.07.2022;110000;TAK;Gdyńska 23b;72-600;Świnoujście;zachodniopomorskie;Polska;1,2;
1130;M10235223604;27.07.2021;26.07.2022;400000;TAK;Harcerska 11;82-500;Kwidzyn;pomorskie;Polska;1,2;
1131;M10235227503;11.01.2021;10.01.2022;200000;TAK;Warszawska 148;07-201;Lucynów;mazowieckie;Polska;1,2;
1132;M10235228004;15.09.2021;14.09.2022;510000;TAK;Klimka 16;84-241;Gościcino;pomorskie;Polska;1,2;
1133;M10235228804;25.07.2021;24.07.2022;70000;TAK;Grochowska 170;04-357;Warszawa;mazowieckie;Polska;1,2;
1134;M10235295504;01.08.2021;31.07.2022;520000;TAK;Czwartaków 33;21-100;Lubartów;lubelskie;Polska;1,2;
1135;M10235302203;22.01.2021;21.01.2022;430000;TAK;Jana Matejki 16;59-101;Polkowice;dolnośląskie;Polska;1,2;
1136;M10235308704;10.08.2021;09.08.2022;470000;TAK;Adama Mickiewicza 14;96-316;Międzyborów;mazowieckie;Polska;1,2;
1137;M10235309104;30.08.2021;29.08.2022;200000;TAK;Komisji Edukacji Narodowej 6;37-450;Stalowa Wola;podkarpackie;Polska;1,2;
1138;M10235312704;21.07.2021;20.07.2022;383000;TAK;Krajewo 5;06-500;Mława;mazowieckie;Polska;1,2;
1139;M10235319204;13.09.2021;12.09.2022;630000;TAK;Reymonta 31;96-127;Lipce Reymontowskie;łódzkie;Polska;1,2;
1140;M1023661510;01.06.2021;31.05.2022;540000;TAK;Włoska 6 A;00-777;Warszawa;mazowieckie;Polska;1,2;
1141;M10236888304;20.07.2021;19.07.2022;370000;TAK;Starkiewicza 12;28-100;Zbludowice;świętokrzyskie;Polska;1,2;
1142;M10236954104;17.08.2021;16.08.2022;200000;TAK;Krzyżowa 22;05-200;Nowe Lipiny;mazowieckie;Polska;1,2;
1143;M10236995804;02.08.2021;01.08.2022;575000;TAK;Wspólna 24;83-322;Stężyca;pomorskie;Polska;1,2;
1144;M1023707110;01.05.2021;30.04.2022;400000;TAK;Skrajna 32c;05-091;Ząbki;mazowieckie;Polska;1,2;
1145;M1023709610;01.06.2021;31.05.2022;240000;TAK;Hugona Kołłątaja 4;05-480;Karczew;mazowieckie;Polska;1,2;
1146;M1023725410;01.06.2021;31.05.2022;320000;TAK;Kochłowicka 5;41-506;Chorzów;śląskie;Polska;1,2;
1147;M1023727610;12.05.2021;11.05.2022;320000;TAK;Turmoncka 16;03-254;Warszawa;mazowieckie;Polska;1,2;
1148;M10237681904;31.07.2021;30.07.2022;253000;TAK;Żołnierzy POW 8;97-400;Bełchatów;łódzkie;Polska;1,2;
1149;M10237724704;20.07.2021;19.07.2022;510000;TAK;Gadzowice 23;48-100;Gadzowice;opolskie;Polska;1,2;
1150;M10238111604;21.07.2021;20.07.2022;510000;TAK;Kaliska 105;78-425;Kaliska;zachodniopomorskie;Polska;1,2;
1151;M10238549404;20.07.2021;19.07.2022;340000;TAK;Kamienicka 9;43-300;Bielsko-Biała;śląskie;Polska;1,2;
1152;M10238674704;21.07.2021;20.07.2022;320000;TAK;Obrońców Miasta 56;18-200;Wysokie Mazowieckie;podlaskie;Polska;1,2;
1153;M10238745904;20.07.2021;19.07.2022;650000;TAK;Żelisławice 71;29-145;Żelisławice;świętokrzyskie;Polska;1,2;
1154;M10238792704;01.08.2021;31.07.2022;200000;TAK;Łazy 531/1;07-130;Łazy;mazowieckie;Polska;1,2;
1155;M1023932510;01.06.2021;31.05.2022;320000;TAK;Odkryta 33;03-140;Warszawa;mazowieckie;Polska;1,2;
1156;M10239535704;23.07.2021;22.07.2022;260000;TAK;Fryderyka Chopina 18b;62-700;Turek;wielkopolskie;Polska;1,2;
1157;M1023961510;05.05.2021;04.05.2022;420000;TAK;Jana Kilińskiego 3;05-230;Kobyłka;mazowieckie;Polska;1,2;
1158;M1023965810;06.05.2021;05.05.2022;640000;TAK;15 Września 10;05-071;Sulejówek;mazowieckie;Polska;1,2;
1159;M10239695304;20.07.2021;19.07.2022;275000;TAK;Cześnikowska 30A;60-330;Poznań;wielkopolskie;Polska;1,2;
1160;M1023969710;16.05.2021;15.05.2022;340000;TAK;Jasna Rola 34f;61-609;Poznań;wielkopolskie;Polska;1,2;
1161;M10239835504;19.08.2021;18.08.2022;512000;TAK;Mikołaja Kopernika 9;59-700;Bolesławiec;dolnośląskie;Polska;1,2;
1162;M1024007310;29.06.2021;28.06.2022;520000;TAK;Keniga 3;02-495;Warszawa;mazowieckie;Polska;1,2;
1163;M10240426904;10.08.2021;09.08.2022;150000;TAK;Kiepury 16;42-221;Częstochowa;śląskie;Polska;1,2;
1164;M10240427204;10.09.2021;09.09.2022;410000;TAK;Żołnierska 3;20-801;Lublin;lubelskie;Polska;1,2;
1165;M10240451804;20.07.2021;19.07.2022;124000;TAK;gen. Władysława Sikorskiego 41;84-200;Wejherowo;pomorskie;Polska;1,2;
1166;M1024104410;02.05.2021;01.05.2022;600000;TAK;Tadeusza Rechniewskiego 11;03-980;Warszawa;mazowieckie;Polska;1,2;
1167;M10241158304;19.07.2021;18.07.2022;900000;TAK;Uznamska 3;03-699;Warszawa;mazowieckie;Polska;1,2;
1168;M10241165604;27.07.2021;26.07.2022;510000;TAK;Krajowe 1d;34-425;Biały Dunajec;małopolskie;Polska;1,2;
1169;M10241169204;20.09.2021;19.09.2022;370000;TAK;Wojciecha Kilara 25;42-506;Będzin;śląskie;Polska;1,2;
1170;M10241385904;10.10.2021;09.10.2022;215424;TAK;Młodzieży Polskiej 38;70-774;Szczecin;zachodniopomorskie;Polska;1,2;
1171;M10241391604;22.07.2021;21.07.2022;205000;TAK;Poprzeczna 4;41-922;Radzionków;śląskie;Polska;1,2;
1172;M10241806104;20.07.2021;19.07.2022;105000;TAK;Armii Krajowej 33;97-300;Piotrków Trybunalski;łódzkie;Polska;1,2;
1173;M1024184510;15.09.2021;14.09.2022;190000;TAK;Wrocławska 14;01-493;Warszawa;mazowieckie;Polska;1,2;
1174;M10241896404;07.08.2021;06.08.2022;330000;TAK;Grabsztyny 1;05-110;Jabłonna;mazowieckie;Polska;1,2;
1175;M1024203210;28.05.2021;27.05.2022;240000;TAK;Esperanto 9;01-049;Warszawa;mazowieckie;Polska;1,2;
1176;M10242483504;20.07.2021;19.07.2022;320000;TAK;Piękna 27;96-300;Żyrardów;mazowieckie;Polska;1,2;
1177;M1024255910;06.05.2021;05.05.2022;690000;TAK;Ogrodowa 1a/A;05-515;Mysiadło;mazowieckie;Polska;1,2;
1178;M10242676204;22.07.2021;21.07.2022;300000;TAK;Żeglarska 92;85-545;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;
1179;M1024272210;12.05.2021;11.05.2022;180000;TAK;Gen. Bema Józefa 62;15-370;Białystok;podlaskie;Polska;1,2;
1180;M1024282310;07.07.2021;06.07.2022;390000;TAK;Łużycka 7;72-006;Mierzyn;zachodniopomorskie;Polska;1,2;
